"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.2","1015.8","1017.3","2020/03/01 23:54:00","1010.6","2020/03/01 03:40:00","19.0","22.4","2020/03/01 09:08:00","16.6","2020/03/01 23:59:59","17.9","93","85","2020/03/01 23:15:00","3.4","50","16.9","50","2020/03/01 23:25:00","T","2.0","T","2020/03/01 18:18:00","T","2020/03/01 18:18:00","1.0","8.6","6.77","4.7","-2.8","4","2020/03/01 13:00:00","8.3","19.4","19.9","20.0","20.0","20.1","20.1","20.2"
"02","1018.0","1020.6","1020.4","2020/03/02 08:45:00","1016.2","2020/03/02 15:38:00","17.0","18.6","2020/03/02 11:50:00","15.6","2020/03/02 05:41:00","12.9","77","69","2020/03/02 12:12:00","9.5","50","19.1","50","2020/03/02 11:42:00","0.0","0.0","0.0","--","0.0","--","8.8","75.9","17.30","14.7","5.2","7","2020/03/02 13:00:00","5.7","17.8","18.8","19.1","19.0","19.7","20.3","20.4"
"03","1017.3","1019.9","1019.8","2020/03/03 09:26:00","1015.0","2020/03/03 16:57:00","19.0","21.5","2020/03/03 13:34:00","16.0","2020/03/03 03:34:00","15.8","82","75","2020/03/03 08:51:00","5.0","50","14.1","40","2020/03/03 00:35:00","0.0","0.0","0.0","--","0.0","--","6.1","52.5","16.45","12.3","-1.3","7","2020/03/03 13:00:00","4.5","19.0","19.3","19.4","19.4","19.6","20.1","20.4"
"04","1017.9","1020.5","1021.3","2020/03/04 22:24:00","1014.7","2020/03/04 02:45:00","16.6","20.1","2020/03/04 04:31:00","14.3","2020/03/04 22:53:00","14.6","88","83","2020/03/04 22:38:00","7.7","40","19.2","40","2020/03/04 18:11:00","T","1.6","T","2020/03/04 19:45:00","T","2020/03/04 19:40:00","0.0","0.0","1.73","11.0","-0.6","2","2020/03/04 13:00:00","9.5","17.0","18.7","18.9","19.3","19.7","20.2","20.5"
"05","1019.0","1021.6","1021.3","2020/03/05 09:21:00","1017.0","2020/03/05 15:03:00","14.7","16.6","2020/03/05 13:27:00","13.4","2020/03/05 06:03:00","11.9","84","75","2020/03/05 11:55:00","8.7","50","18.0","50","2020/03/05 15:42:00","9.8","7.9","0.6","2020/03/05 03:58:00","2.5","2020/03/05 03:52:00","0.0","0.0","5.78","10.7","2.3","4","2020/03/05 14:00:00","9.5","15.8","17.3","17.4","18.0","18.9","19.9","20.5"
"06","1015.2","1017.7","1017.7","2020/03/06 00:01:00","1012.6","2020/03/06 15:56:00","18.0","21.4","2020/03/06 16:20:00","14.7","2020/03/06 00:01:00","15.4","85","77","2020/03/06 09:58:00","3.4","50","13.7","60","2020/03/06 00:13:00","0.0","0.0","0.0","--","0.0","--","0.8","6.8","7.60","13.0","1.1","3","2020/03/06 15:00:00","7.3","17.2","17.8","17.8","17.9","18.5","19.4","20.3"
"07","1012.4","1014.9","1014.9","2020/03/07 08:29:00","1010.1","2020/03/07 14:54:00","19.8","23.2","2020/03/07 11:34:00","16.7","2020/03/07 04:15:00","18.2","91","75","2020/03/07 11:18:00","2.2","50","7.4","230","2020/03/07 12:27:00","0.0","0.0","0.0","--","0.0","--","4.7","40.1","16.61","7.7","3.0","8","2020/03/07 13:00:00","5.5","19.5","19.2","19.1","18.9","19.1","19.4","20.2"
"08","1009.9","1012.4","1012.2","2020/03/08 00:01:00","1007.8","2020/03/08 14:11:00","21.2","24.4","2020/03/08 11:41:00","19.2","2020/03/08 02:42:00","19.8","92","81","2020/03/08 10:54:00","3.2","20","9.8","340","2020/03/08 16:10:00","0.0","0.0","0.0","--","0.0","--","4.2","35.8","15.98","9.0","3.5","8","2020/03/08 12:00:00","7.0","20.5","20.5","20.4","20.0","19.9","19.7","20.2"
"09","1005.9","1008.4","1009.3","2020/03/09 00:01:00","1003.6","2020/03/09 15:20:00","20.7","23.6","2020/03/09 20:16:00","18.8","2020/03/09 06:30:00","20.0","96","89","2020/03/09 20:16:00","3.9","220","17.2","230","2020/03/09 20:15:00","6.8","2.5","1.6","2020/03/09 23:22:00","4.0","2020/03/09 22:41:00","1.2","10.2","5.77","6.0","/","4","2020/03/09 11:00:00","8.7","20.4","20.6","20.5","20.4","20.5","20.3","20.3"
