"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.0","1013.6","1012.8","2023/04/01 10:00:00","1009.8","2023/04/01 15:28:00","18.2","19.0","2023/04/01 09:58:00","17.5","2023/04/01 03:13:00","17.9","98","90","2023/04/01 00:01:00","2.5","50","6.5","40","2023/04/01 09:35:00","6.0","7.2","2.0","2023/04/01 15:49:00","3.5","2023/04/01 15:41:00","0.0","0.0","2.32","8.0","-0.2","1","2023/04/01 12:00:00","10.0","18.0","18.0","18.0","18.1","19.1","18.9","19.7"
"02","1011.1","1013.6","1013.3","2023/04/02 08:27:00","1009.2","2023/04/02 16:06:00","20.4","23.9","2023/04/02 12:54:00","18.1","2023/04/02 00:01:00","17.5","84","72","2023/04/02 14:46:00","5.3","50","14.3","50","2023/04/02 16:53:00","0.0","0.0","0.0","--","0.0","--","7.7","62.2","21.00","20.0","4.7","10","2023/04/02 12:00:00","5.4","18.8","18.8","18.6","18.5","19.3","18.9","19.6"
"03","1010.3","1012.8","1012.0","2023/04/03 08:11:00","1008.2","2023/04/03 16:32:00","22.4","25.9","2023/04/03 13:19:00","18.7","2023/04/03 05:53:00","17.1","73","61","2023/04/03 09:59:00","3.5","60","13.6","60","2023/04/03 00:03:00","0.0","0.0","0.0","--","0.0","--","6.8","54.8","19.46","19.2","3.9","8","2023/04/03 12:00:00","4.4","19.5","19.5","19.1","19.0","19.8","19.2","19.6"
"04","1009.2","1011.7","1011.4","2023/04/04 08:43:00","1007.2","2023/04/04 16:46:00","22.1","26.4","2023/04/04 12:51:00","19.9","2023/04/04 05:22:00","19.6","86","64","2023/04/04 12:41:00","2.1","360","6.1","260","2023/04/04 13:42:00","0.0","0.0","0.0","--","0.0","--","3.2","25.8","14.27","13.2","-2.4","8","2023/04/04 13:00:00","8.4","20.9","20.9","20.0","19.8","20.4","19.6","19.7"
"05","1010.0","1012.5","1011.7","2023/04/05 10:12:00","1008.5","2023/04/05 15:00:00","22.4","25.4","2023/04/05 09:48:00","20.4","2023/04/05 05:43:00","20.4","89","72","2023/04/05 09:40:00","2.0","90","7.6","320","2023/04/05 13:24:00","2.0","2.9","0.5","2023/04/05 16:12:00","1.0","2023/04/05 16:12:00","3.4","27.3","14.88","14.8","-1.7","8","2023/04/05 13:00:00","8.6","21.5","21.5","20.7","20.5","21.0","20.0","19.8"
"06","1009.6","1012.1","1011.0","2023/04/06 00:46:00","1007.9","2023/04/06 15:58:00","21.8","25.5","2023/04/06 09:41:00","20.8","2023/04/06 23:48:00","21.0","95","77","2023/04/06 09:54:00","1.9","60","7.3","320","2023/04/06 11:27:00","0.0","0.0","0.0","--","0.0","--","0.2","1.6","8.17","10.0","-1.5","5","2023/04/06 12:00:00","10.0","21.4","21.4","21.0","20.9","21.4","20.4","20.0"
"07","1015.2","1017.8","1018.5","2023/04/07 23:19:00","1010.3","2023/04/07 00:10:00","16.9","20.9","2023/04/07 00:07:00","15.7","2023/04/07 06:11:00","14.9","88","71","2023/04/07 23:06:00","7.3","50","15.6","20","2023/04/07 02:35:00","13.5","7.5","1.5","2023/04/07 03:14:00","6.0","2023/04/07 03:14:00","0.0","0.0","4.39","14.8","-2.6","4","2023/04/07 13:00:00","10.0","17.2","17.2","19.1","19.5","20.8","20.4","20.2"
"08","1018.7","1021.3","1020.7","2023/04/08 10:11:00","1017.5","2023/04/08 23:54:00","17.6","19.9","2023/04/08 11:26:00","16.1","2023/04/08 00:01:00","10.2","62","50","2023/04/08 17:04:00","8.9","60","21.6","50","2023/04/08 10:57:00","0.0","0.0","0.0","--","0.0","--","2.8","22.3","16.78","17.6","5.4","9","2023/04/08 12:00:00","7.2","15.8","15.8","17.3","17.8","19.3","19.6","20.3"
"09","1015.1","1017.7","1017.6","2023/04/09 09:03:00","1012.5","2023/04/09 16:33:00","19.5","23.2","2023/04/09 13:48:00","16.5","2023/04/09 00:01:00","12.4","63","55","2023/04/09 12:09:00","5.2","60","16.0","60","2023/04/09 01:10:00","0.0","0.0","0.0","--","0.0","--","4.6","36.6","18.44","20.0","4.6","8","2023/04/09 12:00:00","6.0","17.3","17.3","17.3","17.5","18.8","19.1","20.2"
"10","1012.8","1015.3","1015.2","2023/04/10 09:00:00","1010.8","2023/04/10 17:00:00","20.2","22.9","2023/04/10 13:06:00","16.5","2023/04/10 01:08:00","18.0","87","78","2023/04/10 11:41:00","2.1","210","6.6","340","2023/04/10 12:05:00","0.0","0.0","0.0","--","0.0","--","6.9","55.0","21.07","11.6","3.5","11","2023/04/10 12:00:00","2.6","19.2","19.2","18.7","18.7","19.5","19.2","20.0"
